"REF_DATE","GEO","DGUID","Rates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007-02-07","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-02-14","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-02-21","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-02-28","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-03-07","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-03-14","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-03-21","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-03-28","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-04-04","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-04-11","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-04-18","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-04-25","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-05-02","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-05-09","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-05-16","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-05-23","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-05-30","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-06-06","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-06-13","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-06-20","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-06-27","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-07-04","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-07-11","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.75","","","","2"
"2007-07-18","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.75","","","","2"
"2007-07-25","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.75","","","","2"
"2007-08-01","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.75","","","","2"
"2007-08-08","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.75","","","","2"
"2007-08-15","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.75","","","","2"
"2007-08-22","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.75","","","","2"
"2007-08-29","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.75","","","","2"
"2007-09-05","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.75","","","","2"
"2007-09-12","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.75","","","","2"
"2007-09-19","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.75","","","","2"
"2007-09-26","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.75","","","","2"
"2007-10-03","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.75","","","","2"
"2007-10-10","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.75","","","","2"
"2007-10-17","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.75","","","","2"
"2007-10-24","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.75","","","","2"
"2007-10-31","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.75","","","","2"
"2007-11-07","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.75","","","","2"
"2007-11-14","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.75","","","","2"
"2007-11-21","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.75","","","","2"
"2007-11-28","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.75","","","","2"
"2007-12-05","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-12-12","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-12-19","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2007-12-26","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2008-01-02","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2008-01-09","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2008-01-16","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.50","","","","2"
"2008-01-23","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.25","","","","2"
"2008-01-30","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.25","","","","2"
"2008-02-06","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.25","","","","2"
"2008-02-13","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.25","","","","2"
"2008-02-20","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.25","","","","2"
"2008-02-27","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","4.25","","","","2"
"2008-03-05","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.75","","","","2"
"2008-03-12","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.75","","","","2"
"2008-03-19","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.75","","","","2"
"2008-03-26","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.75","","","","2"
"2008-04-02","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.75","","","","2"
"2008-04-09","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.75","","","","2"
"2008-04-16","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.75","","","","2"
"2008-04-23","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.25","","","","2"
"2008-04-30","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.25","","","","2"
"2008-05-07","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.25","","","","2"
"2008-05-14","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.25","","","","2"
"2008-05-21","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.25","","","","2"
"2008-05-28","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.25","","","","2"
"2008-06-04","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","3.25","","","","2"
