"REF_DATE","GEO","DGUID","Sector","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017-12","Ontario","2016A000235","Military","Unadjusted","Dollars","81","thousands","3","v1996651","7.18.1","186572","","","","0"
"2018-01","Ontario","2016A000235","Military","Unadjusted","Dollars","81","thousands","3","v1996651","7.18.1","183087","","","","0"
"2018-02","Ontario","2016A000235","Military","Unadjusted","Dollars","81","thousands","3","v1996651","7.18.1","186285","","","","0"
"2018-03","Ontario","2016A000235","Military","Unadjusted","Dollars","81","thousands","3","v1996651","7.18.1","188722","","","","0"
"2018-04","Ontario","2016A000235","Military","Unadjusted","Dollars","81","thousands","3","v1996651","7.18.1","186986","","","","0"
"2018-05","Ontario","2016A000235","Military","Unadjusted","Dollars","81","thousands","3","v1996651","7.18.1","189585","","","","0"
"2018-06","Ontario","2016A000235","Military","Unadjusted","Dollars","81","thousands","3","v1996651","7.18.1","192434","","","","0"
"2018-07","Ontario","2016A000235","Military","Unadjusted","Dollars","81","thousands","3","v1996651","7.18.1","200352","","","","0"
"2018-08","Ontario","2016A000235","Military","Unadjusted","Dollars","81","thousands","3","v1996651","7.18.1","196611","","","","0"
"2018-09","Ontario","2016A000235","Military","Unadjusted","Dollars","81","thousands","3","v1996651","7.18.1","195058","","","","0"
"2018-10","Ontario","2016A000235","Military","Unadjusted","Dollars","81","thousands","3","v1996651","7.18.1","198876","","","","0"
"2018-11","Ontario","2016A000235","Military","Unadjusted","Dollars","81","thousands","3","v1996651","7.18.1","199816","","","","0"
"2018-12","Ontario","2016A000235","Military","Unadjusted","Dollars","81","thousands","3","v1996651","7.18.1","198410","","","","0"
"2019-01","Ontario","2016A000235","Military","Unadjusted","Dollars","81","thousands","3","v1996651","7.18.1","193450","","","","0"
"2019-02","Ontario","2016A000235","Military","Unadjusted","Dollars","81","thousands","3","v1996651","7.18.1","193450","","","","0"
