"REF_DATE","GEO","DGUID","Sector","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-03","Ontario","2016A000235","Military","Unadjusted","Dollars","81","thousands","3","v1996651","7.18.1","193450","","","","0"
"2019-04","Ontario","2016A000235","Military","Unadjusted","Dollars","81","thousands","3","v1996651","7.18.1","192069","","","","0"
"2019-05","Ontario","2016A000235","Military","Unadjusted","Dollars","81","thousands","3","v1996651","7.18.1","194950","","","","0"
"2019-06","Ontario","2016A000235","Military","Unadjusted","Dollars","81","thousands","3","v1996651","7.18.1","198069","","","","0"
"2019-07","Ontario","2016A000235","Military","Unadjusted","Dollars","81","thousands","3","v1996651","7.18.1","205794","","","","0"
"2019-08","Ontario","2016A000235","Military","Unadjusted","Dollars","81","thousands","3","v1996651","7.18.1","200444","","","","0"
"2019-09","Ontario","2016A000235","Military","Unadjusted","Dollars","81","thousands","3","v1996651","7.18.1","197637","","","","0"
"2019-10","Ontario","2016A000235","Military","Unadjusted","Dollars","81","thousands","3","v1996651","7.18.1","200827","","","","0"
"2019-11","Ontario","2016A000235","Military","Unadjusted","Dollars","81","thousands","3","v1996651","7.18.1","200448","","","","0"
"2019-12","Ontario","2016A000235","Military","Unadjusted","Dollars","81","thousands","3","v1996651","7.18.1","200345","","","","0"
"2020-01","Ontario","2016A000235","Military","Unadjusted","Dollars","81","thousands","3","v1996651","7.18.1","197080","","","","0"
"2020-02","Ontario","2016A000235","Military","Unadjusted","Dollars","81","thousands","3","v1996651","7.18.1","198358","","","","0"
"2020-03","Ontario","2016A000235","Military","Unadjusted","Dollars","81","thousands","3","v1996651","7.18.1","198358","","","","0"
"2020-04","Ontario","2016A000235","Military","Unadjusted","Dollars","81","thousands","3","v1996651","7.18.1","195243","","","","0"
"2020-05","Ontario","2016A000235","Military","Unadjusted","Dollars","81","thousands","3","v1996651","7.18.1","194665","","","","0"
"2020-06","Ontario","2016A000235","Military","Unadjusted","Dollars","81","thousands","3","v1996651","7.18.1","197779","","","","0"
"2006-01","Ontario","2016A000235","Federal government public administration excluding military","Unadjusted","Dollars","81","thousands","3","v1996652","7.19.1","667351","","","","0"
"2006-02","Ontario","2016A000235","Federal government public administration excluding military","Unadjusted","Dollars","81","thousands","3","v1996652","7.19.1","681024","","","","0"
"2006-03","Ontario","2016A000235","Federal government public administration excluding military","Unadjusted","Dollars","81","thousands","3","v1996652","7.19.1","693333","","","","0"
