"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2005-05","Canada","2016A000011124","Units","300","units","0","v15819047","1","134002","","","","0"
"2005-06","Canada","2016A000011124","Units","300","units","0","v15819047","1","137803","","","","0"
"2005-07","Canada","2016A000011124","Units","300","units","0","v15819047","1","137920","","","","0"
"2005-08","Canada","2016A000011124","Units","300","units","0","v15819047","1","136711","","","","0"
"2005-09","Canada","2016A000011124","Units","300","units","0","v15819047","1","138593","","","","0"
"2005-10","Canada","2016A000011124","Units","300","units","0","v15819047","1","138174","","","","0"
"2005-11","Canada","2016A000011124","Units","300","units","0","v15819047","1","140787","","","","0"
"2005-12","Canada","2016A000011124","Units","300","units","0","v15819047","1","141535","","","","0"
"2006-01","Canada","2016A000011124","Units","300","units","0","v15819047","1","140277","","","","0"
"2006-02","Canada","2016A000011124","Units","300","units","0","v15819047","1","137657","","","","0"
"2006-03","Canada","2016A000011124","Units","300","units","0","v15819047","1","139734","","","","0"
"2006-04","Canada","2016A000011124","Units","300","units","0","v15819047","1","143030","","","","0"
"2006-05","Canada","2016A000011124","Units","300","units","0","v15819047","1","145063","","","","0"
"2006-06","Canada","2016A000011124","Units","300","units","0","v15819047","1","147962","","","","0"
"2006-07","Canada","2016A000011124","Units","300","units","0","v15819047","1","147892","","","","0"
"2006-08","Canada","2016A000011124","Units","300","units","0","v15819047","1","146539","","","","0"
"2006-09","Canada","2016A000011124","Units","300","units","0","v15819047","1","146032","","","","0"
"2006-10","Canada","2016A000011124","Units","300","units","0","v15819047","1","147819","","","","0"
"2006-11","Canada","2016A000011124","Units","300","units","0","v15819047","1","150842","","","","0"
"2006-12","Canada","2016A000011124","Units","300","units","0","v15819047","1","150169","","","","0"
"2007-01","Canada","2016A000011124","Units","300","units","0","v15819047","1","149485","","","","0"
"2007-02","Canada","2016A000011124","Units","300","units","0","v15819047","1","146952","","","","0"
"2007-03","Canada","2016A000011124","Units","300","units","0","v15819047","1","148372","","","","0"
"2007-04","Canada","2016A000011124","Units","300","units","0","v15819047","1","152882","","","","0"
"2007-05","Canada","2016A000011124","Units","300","units","0","v15819047","1","156808","","","","0"
"2007-06","Canada","2016A000011124","Units","300","units","0","v15819047","1","158607","","","","0"
"2007-07","Canada","2016A000011124","Units","300","units","0","v15819047","1","157347","","","","0"
"2007-08","Canada","2016A000011124","Units","300","units","0","v15819047","1","160098","","","","0"
"2007-09","Canada","2016A000011124","Units","300","units","0","v15819047","1","166406","","","","0"
"2007-10","Canada","2016A000011124","Units","300","units","0","v15819047","1","168988","","","","0"
"2007-11","Canada","2016A000011124","Units","300","units","0","v15819047","1","171321","","","","0"
"2007-12","Canada","2016A000011124","Units","300","units","0","v15819047","1","166828","","","","0"
"2008-01","Canada","2016A000011124","Units","300","units","0","v15819047","1","167805","","","","0"
"2008-02","Canada","2016A000011124","Units","300","units","0","v15819047","1","166580","","","","0"
"2008-03","Canada","2016A000011124","Units","300","units","0","v15819047","1","169936","","","","0"
"2008-04","Canada","2016A000011124","Units","300","units","0","v15819047","1","171532","","","","0"
"2008-05","Canada","2016A000011124","Units","300","units","0","v15819047","1","174020","","","","0"
"2008-06","Canada","2016A000011124","Units","300","units","0","v15819047","1","174741","","","","0"
"2008-07","Canada","2016A000011124","Units","300","units","0","v15819047","1","171392","","","","0"
"2008-08","Canada","2016A000011124","Units","300","units","0","v15819047","1","170992","","","","0"
"2008-09","Canada","2016A000011124","Units","300","units","0","v15819047","1","170598","","","","0"
"2008-10","Canada","2016A000011124","Units","300","units","0","v15819047","1","169659","","","","0"
"2008-11","Canada","2016A000011124","Units","300","units","0","v15819047","1","165423","","","","0"
"2008-12","Canada","2016A000011124","Units","300","units","0","v15819047","1","160732","","","","0"
"2009-01","Canada","2016A000011124","Units","300","units","0","v15819047","1","156860","","","","0"
"2009-02","Canada","2016A000011124","Units","300","units","0","v15819047","1","151117","","","","0"
"2009-03","Canada","2016A000011124","Units","300","units","0","v15819047","1","149604","","","","0"
"2009-04","Canada","2016A000011124","Units","300","units","0","v15819047","1","145342","","","","0"
"2009-05","Canada","2016A000011124","Units","300","units","0","v15819047","1","141310","","","","0"
"2009-06","Canada","2016A000011124","Units","300","units","0","v15819047","1","136850","","","","0"
"2009-07","Canada","2016A000011124","Units","300","units","0","v15819047","1","133219","","","","0"
"2009-08","Canada","2016A000011124","Units","300","units","0","v15819047","1","132473","","","","0"
"2009-09","Canada","2016A000011124","Units","300","units","0","v15819047","1","133168","","","","0"
"2009-10","Canada","2016A000011124","Units","300","units","0","v15819047","1","135138","","","","0"
"2009-11","Canada","2016A000011124","Units","300","units","0","v15819047","1","136215","","","","0"
