"REF_DATE","GEO","DGUID","Immigrant status","Labour force characteristics","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009-08","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","1939.2","","","","1"
"2009-09","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","1940.7","","","","1"
"2009-10","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","1959.4","","","","1"
"2009-11","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","1984.7","","","","1"
"2009-12","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2003.2","","","","1"
"2010-01","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2015.3","","","","1"
"2010-02","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2016.1","","","","1"
"2010-03","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2005.5","","","","1"
"2010-04","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","1992.8","","","","1"
"2010-05","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","1987.2","","","","1"
"2010-06","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","1996.6","","","","1"
"2010-07","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2000.0","","","","1"
"2010-08","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2014.0","","","","1"
"2010-09","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2011.6","","","","1"
"2010-10","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2023.1","","","","1"
"2010-11","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2028.2","","","","1"
"2010-12","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2045.9","","","","1"
"2011-01","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2040.5","","","","1"
"2011-02","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2022.5","","","","1"
"2011-03","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2001.4","","","","1"
"2011-04","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2004.4","","","","1"
"2011-05","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2014.6","","","","1"
"2011-06","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2023.2","","","","1"
"2011-07","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2014.8","","","","1"
"2011-08","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2018.5","","","","1"
"2011-09","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2025.2","","","","1"
"2011-10","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2031.2","","","","1"
"2011-11","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2028.7","","","","1"
"2011-12","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2029.4","","","","1"
"2012-01","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2022.2","","","","1"
"2012-02","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2014.2","","","","1"
"2012-03","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","1994.4","","","","1"
"2012-04","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","1996.0","","","","1"
"2012-05","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","1996.6","","","","1"
"2012-06","Toronto, Ontario","2011S0503535","Total population","Employment","25 to 54 years","Persons","249","thousands","3","v53036581","10.1.3.2","2013.9","","","","1"
